query,npos,nneg,ratio
"Conjunction(BottomQuadrant(o0), RightOf(o0, o1)); Conjunction(Color_green(o0), Far_3.0(o0, o2)); Conjunction(Conjunction(BottomQuadrant(o1), Shape_cylinder(o2)), TopQuadrant(o2))",671,9329,0.0719262514738986
"Conjunction(RightOf(o0, o1), TopQuadrant(o2)); Conjunction(Conjunction(Conjunction(Color_gray(o0), LeftOf(o0, o2)), RightOf(o0, o1)), Shape_sphere(o1)); RightOf(o1, o2)",557,9443,0.05898549189876099
"Conjunction(Conjunction(Conjunction(Color_yellow(o0), LeftQuadrant(o1)), RightQuadrant(o0)), Shape_cube(o0)); FrontOf(o0, o2); Conjunction(Behind(o1, o2), FrontOf(o0, o2))",700,9300,0.07526881720430108
"Conjunction(Conjunction(Behind(o0, o1), Near_1.0(o0, o2)), TopQuadrant(o2)); Conjunction(Conjunction(Color_green(o1), LeftOf(o0, o2)), Shape_cube(o1)); RightOf(o0, o1)",517,9483,0.05451861225350627
"BottomQuadrant(o0); FrontOf(o0, o1); Conjunction(Conjunction(Conjunction(Conjunction(Behind(o0, o1), Color_cyan(o0)), Far_3.0(o1, o2)), FrontOf(o0, o2)), Material_rubber(o2))",602,9398,0.06405618216641838
"Conjunction(Conjunction(FrontOf(o0, o1), RightOf(o1, o2)), Shape_sphere(o0)); Conjunction(Far_3.0(o0, o2), LeftOf(o1, o2)); Conjunction(Behind(o1, o2), Color_red(o0))",641,9359,0.06849022331445667
"LeftQuadrant(o0); Conjunction(Conjunction(Conjunction(FrontOf(o0, o1), Material_metal(o0)), Near_1.0(o0, o2)), Shape_cube(o0)); Conjunction(Near_1.0(o0, o1), TopQuadrant(o2))",997,9003,0.11074086415639231
"Behind(o0, o1); Conjunction(Conjunction(FrontOf(o0, o1), Material_metal(o1)), RightOf(o0, o1)); Conjunction(Conjunction(Far_3.0(o1, o2), Material_metal(o2)), Near_1.0(o0, o1))",825,9175,0.08991825613079019
"Conjunction(FrontOf(o0, o1), RightQuadrant(o1)); Conjunction(Conjunction(Color_purple(o2), Far_3.0(o1, o2)), Material_metal(o0)); Conjunction(BottomQuadrant(o0), LeftOf(o1, o2))",970,9030,0.10741971207087486
"Conjunction(LeftQuadrant(o0), Shape_cylinder(o0)); Conjunction(Conjunction(Color_purple(o1), Far_3.0(o1, o2)), TopQuadrant(o2)); Conjunction(LeftQuadrant(o1), Near_1.0(o0, o1))",966,9034,0.10692937790568961
"Conjunction(Conjunction(Far_3.0(o0, o1), FrontOf(o0, o2)), Near_1.0(o1, o2)); Conjunction(Conjunction(Color_green(o2), FrontOf(o1, o2)), Material_rubber(o0)); Near_1.0(o1, o2)",995,9005,0.110494169905608
"Conjunction(Material_metal(o0), Near_1.0(o0, o1)); Conjunction(Far_3.0(o1, o2), LeftQuadrant(o1)); Conjunction(Conjunction(Color_yellow(o0), FrontOf(o1, o2)), Near_1.0(o0, o1))",842,9158,0.09194147193710417
"Conjunction(Conjunction(BottomQuadrant(o0), Near_1.0(o1, o2)), TopQuadrant(o1)); FrontOf(o0, o2); Conjunction(Conjunction(BottomQuadrant(o1), Material_rubber(o0)), Shape_sphere(o2))",537,9463,0.056747331712987424
"Conjunction(Color_blue(o0), Far_3.0(o1, o2)); Conjunction(Conjunction(Behind(o0, o2), Color_brown(o2)), LeftQuadrant(o0)); Conjunction(Behind(o0, o1), RightQuadrant(o2))",530,9470,0.0559662090813094
"Conjunction(BottomQuadrant(o0), Far_3.0(o0, o1)); Conjunction(Conjunction(Conjunction(BottomQuadrant(o0), Color_gray(o1)), Near_1.0(o0, o2)), Shape_cube(o1)); Near_1.0(o0, o2)",577,9423,0.06123315292369733
"Conjunction(Conjunction(BottomQuadrant(o0), Far_3.0(o0, o1)), Material_metal(o1)); Conjunction(BottomQuadrant(o2), LeftOf(o1, o2)); Conjunction(Color_gray(o2), RightQuadrant(o0))",856,9144,0.09361329833770779
"Near_1.0(o0, o1); Conjunction(Conjunction(BottomQuadrant(o1), RightQuadrant(o1)), TopQuadrant(o0)); Conjunction(Conjunction(Color_cyan(o2), Far_3.0(o0, o2)), Material_rubber(o1))",598,9402,0.06360348861944268
"Conjunction(Material_rubber(o0), Near_1.0(o0, o1)); Conjunction(BottomQuadrant(o2), LeftOf(o0, o1)); Conjunction(Conjunction(Behind(o0, o1), RightOf(o0, o1)), Shape_cube(o2))",536,9464,0.0566356720202874
