query,npos,nneg,ratio
"Duration(Conjunction(Behind(o0, o1), Color_cyan(o1)), 10); Duration(Conjunction(Conjunction(Far_3.0(o1, o2), RightOf(o0, o1)), Shape_cylinder(o0)), 5); Duration(Conjunction(Far_3.0(o0, o1), LeftQuadrant(o1)), 15)",977,9023,0.10827884295688796
"Duration(LeftQuadrant(o0), 15); FrontOf(o0, o1); Duration(Conjunction(Conjunction(Conjunction(Conjunction(BottomQuadrant(o0), Color_green(o0)), LeftQuadrant(o0)), RightOf(o1, o2)), Shape_cube(o1)), 5)",675,9325,0.07238605898123325
"Conjunction(Material_rubber(o0), Near_1.0(o0, o1)); Duration(Conjunction(RightOf(o0, o1), TopQuadrant(o2)), 5); Duration(Conjunction(Conjunction(Far_3.0(o0, o1), FrontOf(o0, o1)), Material_metal(o1)), 15)",983,9017,0.10901630253964734
"Conjunction(Conjunction(BottomQuadrant(o0), LeftQuadrant(o1)), Shape_sphere(o0)); Duration(LeftOf(o0, o2), 5); Duration(Conjunction(Conjunction(RightQuadrant(o1), Shape_sphere(o1)), TopQuadrant(o2)), 10)",659,9341,0.07054919173536024
"Conjunction(LeftOf(o0, o1), Material_rubber(o1)); Duration(Conjunction(BottomQuadrant(o2), TopQuadrant(o0)), 15); Duration(Conjunction(Conjunction(Color_green(o1), Far_3.0(o1, o2)), RightQuadrant(o2)), 10)",637,9363,0.06803374986649578
"Duration(Conjunction(RightOf(o0, o1), Shape_cube(o1)), 15); Duration(Conjunction(Near_1.0(o0, o2), RightQuadrant(o0)), 15); Duration(Conjunction(Conjunction(Behind(o0, o2), Far_3.0(o1, o2)), Material_rubber(o1)), 10)",805,9195,0.08754758020663404
"Duration(Conjunction(Conjunction(Material_rubber(o0), Near_1.0(o1, o2)), RightQuadrant(o1)), 5); Conjunction(Far_3.0(o1, o2), Shape_cylinder(o2)); Duration(Conjunction(FrontOf(o1, o2), TopQuadrant(o2)), 5)",704,9296,0.0757314974182444
"Duration(Conjunction(Conjunction(Color_blue(o0), RightOf(o0, o1)), RightQuadrant(o0)), 10); Duration(Conjunction(RightOf(o1, o2), Shape_cube(o0)), 15); Conjunction(Behind(o1, o2), LeftQuadrant(o1))",686,9314,0.07365256602963281
"Duration(Conjunction(Near_1.0(o0, o1), TopQuadrant(o1)), 10); Duration(Far_3.0(o0, o2), 5); Duration(Conjunction(Conjunction(Conjunction(Behind(o1, o2), Color_blue(o0)), Shape_cube(o1)), TopQuadrant(o1)), 5)",747,9253,0.08073057386793472
"Conjunction(Far_3.0(o0, o1), RightQuadrant(o2)); Conjunction(Conjunction(Conjunction(Color_gray(o2), Near_1.0(o0, o1)), Shape_cube(o1)), TopQuadrant(o0)); Duration(TopQuadrant(o1), 15)",904,9096,0.09938434476693052
"Duration(Conjunction(Conjunction(Color_purple(o0), Far_3.0(o0, o1)), LeftQuadrant(o2)), 10); Duration(Conjunction(LeftQuadrant(o0), Material_metal(o1)), 15); Duration(Conjunction(FrontOf(o0, o2), LeftQuadrant(o1)), 10)",980,9020,0.10864745011086474
"Duration(Conjunction(Conjunction(Conjunction(Conjunction(BottomQuadrant(o0), Color_red(o0)), Material_metal(o1)), RightOf(o1, o2)), TopQuadrant(o2)), 10); Duration(FrontOf(o0, o2), 15); Duration(LeftOf(o1, o2), 15)",505,9495,0.05318588730911006
"RightOf(o0, o1); Duration(Conjunction(Conjunction(Color_cyan(o2), FrontOf(o1, o2)), LeftQuadrant(o2)), 15); Duration(Conjunction(Conjunction(Behind(o0, o1), FrontOf(o0, o2)), Shape_sphere(o1)), 5)",980,9020,0.10864745011086474
"Duration(Conjunction(Conjunction(Color_green(o0), LeftQuadrant(o1)), Material_metal(o1)), 10); Conjunction(Far_3.0(o0, o2), RightOf(o0, o1)); Duration(Conjunction(Behind(o0, o2), RightQuadrant(o1)), 15)",581,9419,0.061683830555260645
"Conjunction(Far_3.0(o0, o1), Near_1.0(o0, o2)); Duration(Conjunction(Conjunction(Color_blue(o2), Far_3.0(o0, o1)), LeftOf(o0, o1)), 5); Conjunction(Behind(o0, o2), Material_rubber(o0))",865,9135,0.09469074986316366
"Conjunction(FrontOf(o0, o1), RightQuadrant(o0)); Duration(Conjunction(Behind(o1, o2), Material_metal(o2)), 5); Conjunction(Conjunction(BottomQuadrant(o1), Material_metal(o2)), Near_1.0(o0, o1))",786,9214,0.08530497069676579
"Duration(Conjunction(Conjunction(Behind(o0, o1), LeftOf(o0, o2)), Near_1.0(o1, o2)), 10); Duration(LeftOf(o0, o1), 15); Duration(Conjunction(Conjunction(Color_brown(o2), LeftOf(o0, o1)), Material_metal(o0)), 15)",824,9176,0.08979947689625109
"Duration(Conjunction(LeftQuadrant(o0), RightOf(o0, o1)), 5); Duration(Conjunction(FrontOf(o0, o1), Material_metal(o0)), 5); Duration(Conjunction(Conjunction(Behind(o1, o2), Color_brown(o2)), Far_3.0(o0, o2)), 15)",981,9019,0.10877037365561593
"Duration(LeftOf(o0, o1), 10); Duration(Conjunction(FrontOf(o1, o2), Near_1.0(o0, o2)), 5); Duration(Conjunction(Conjunction(Conjunction(Color_yellow(o0), Material_rubber(o0)), RightOf(o1, o2)), TopQuadrant(o2)), 10)",895,9105,0.09829763866007687
"Duration(Conjunction(Conjunction(Behind(o0, o1), Color_blue(o0)), Material_metal(o2)), 10); Duration(Conjunction(Conjunction(Behind(o0, o2), LeftQuadrant(o0)), RightOf(o1, o2)), 5); Duration(LeftQuadrant(o1), 5)",993,9007,0.11024758521150216
"Conjunction(Conjunction(FrontOf(o0, o1), LeftOf(o0, o1)), TopQuadrant(o2)); Conjunction(Color_purple(o2), RightOf(o0, o2)); Duration(Conjunction(Behind(o0, o1), Material_metal(o1)), 15)",622,9378,0.06632544252505865
"RightQuadrant(o0); Duration(Conjunction(Behind(o0, o1), Near_1.0(o1, o2)), 10); Duration(Conjunction(Conjunction(Conjunction(Material_rubber(o1), RightOf(o0, o1)), RightQuadrant(o2)), Shape_sphere(o0)), 10)",986,9014,0.10938540048812957
"Duration(Conjunction(FrontOf(o0, o1), LeftOf(o0, o1)), 5); Duration(Conjunction(Conjunction(Color_gray(o0), FrontOf(o0, o1)), RightOf(o1, o2)), 15); Conjunction(Color_purple(o2), TopQuadrant(o0))",906,9094,0.09962612711678029
"Duration(Conjunction(Color_brown(o0), LeftOf(o0, o1)), 10); Conjunction(Far_3.0(o1, o2), LeftQuadrant(o1)); Duration(Conjunction(Conjunction(Behind(o1, o2), RightOf(o1, o2)), Shape_cylinder(o1)), 10)",720,9280,0.07758620689655173
"Conjunction(Behind(o0, o1), Material_metal(o2)); Conjunction(FrontOf(o0, o1), LeftOf(o0, o1)); Duration(Conjunction(Conjunction(Near_1.0(o0, o2), Shape_cube(o0)), TopQuadrant(o1)), 10)",620,9380,0.06609808102345416
"Duration(Conjunction(Conjunction(BottomQuadrant(o0), Far_3.0(o0, o1)), Material_metal(o0)), 5); Duration(Conjunction(Conjunction(LeftOf(o0, o1), RightOf(o0, o2)), Shape_cube(o1)), 15); Duration(Behind(o0, o2), 10)",692,9308,0.07434464976364417
"Duration(RightQuadrant(o0), 10); Duration(Conjunction(LeftOf(o1, o2), RightOf(o0, o1)), 5); Duration(Conjunction(Conjunction(Conjunction(Color_red(o0), LeftQuadrant(o2)), Material_rubber(o2)), RightOf(o1, o2)), 10)",915,9085,0.10071546505228399
"Duration(Conjunction(Conjunction(Conjunction(Color_brown(o0), Material_rubber(o1)), Near_1.0(o0, o1)), RightQuadrant(o2)), 10); Duration(FrontOf(o0, o1), 10); Conjunction(FrontOf(o0, o1), LeftOf(o0, o1))",538,9462,0.05685901500739801
"Conjunction(Conjunction(Conjunction(Behind(o0, o1), Color_brown(o1)), LeftQuadrant(o2)), Shape_cylinder(o1)); Duration(RightOf(o0, o1), 15); Duration(Conjunction(BottomQuadrant(o2), RightOf(o0, o2)), 10)",655,9345,0.07009095773140717
"Conjunction(Conjunction(BottomQuadrant(o0), LeftOf(o1, o2)), RightQuadrant(o0)); Duration(Far_3.0(o1, o2), 10); Conjunction(Conjunction(Material_metal(o2), RightOf(o1, o2)), Shape_cylinder(o0))",859,9141,0.09397221310578711
